Name,Name,PositionId,Team1,Team2,Date,Goals,SavesMade,PenaltyGoals,PenaltiesSaved,Assists,Offsides
Giggs Ryan,Manchester United,4,Manchester United,Arsenal,8/28/11 00:00,0,0,0,0,1,0
Giggs Ryan,Manchester United,4,Manchester United,Arsenal,1/22/12 00:00,0,0,0,0,1,0
Giggs Ryan,Manchester United,4,Manchester United,Aston Villa,12/3/11 00:00,0,0,0,0,0,0
Giggs Ryan,Manchester United,4,Manchester United,Blackburn Rovers,4/2/12 00:00,0,0,0,0,0,0
Giggs Ryan,Manchester United,4,Manchester United,Bolton Wanderers,9/10/11 00:00,0,0,0,0,0,1
Giggs Ryan,Manchester United,4,Manchester United,Bolton Wanderers,1/14/12 00:00,0,0,0,0,1,0
Giggs Ryan,Manchester United,4,Manchester United,Chelsea,2/5/12 00:00,0,0,0,0,1,0
Giggs Ryan,Manchester United,4,Manchester United,Fulham,12/21/11 00:00,1,0,0,0,2,0
Giggs Ryan,Manchester United,4,Manchester United,Fulham,3/26/12 00:00,0,0,0,0,0,0
Giggs Ryan,Manchester United,4,Manchester United,Liverpool,10/15/11 00:00,0,0,0,0,0,0
Giggs Ryan,Manchester United,4,Manchester United,Liverpool,2/11/12 00:00,0,0,0,0,0,0
Giggs Ryan,Manchester United,4,Manchester United,Manchester City,4/30/12 00:00,0,0,0,0,0,0
Giggs Ryan,Manchester United,4,Manchester United,Newcastle United,11/26/11 00:00,0,0,0,0,0,0
Giggs Ryan,Manchester United,4,Manchester United,Newcastle United,1/4/12 00:00,0,0,0,0,0,0
Giggs Ryan,Manchester United,4,Manchester United,Norwich City,10/1/11 00:00,0,0,0,0,0,0
Giggs Ryan,Manchester United,4,Manchester United,Norwich City,2/26/12 00:00,1,0,0,0,0,0
Giggs Ryan,Manchester United,4,Manchester United,Queens Park Rangers,12/18/11 00:00,0,0,0,0,0,0
Giggs Ryan,Manchester United,4,Manchester United,Queens Park Rangers,4/8/12 00:00,0,0,0,0,0,0
Giggs Ryan,Manchester United,4,Manchester United,Stoke City,9/24/11 00:00,0,0,0,0,0,0
Giggs Ryan,Manchester United,4,Manchester United,Sunderland,5/13/12 00:00,0,0,0,0,0,0
Giggs Ryan,Manchester United,4,Manchester United,Swansea City,11/19/11 00:00,0,0,0,0,1,0
Giggs Ryan,Manchester United,4,Manchester United,Tottenham Hotspur,8/22/11 00:00,0,0,0,0,1,0
Giggs Ryan,Manchester United,4,Manchester United,Tottenham Hotspur,3/4/12 00:00,0,0,0,0,0,0
Giggs Ryan,Manchester United,4,Manchester United,Wigan Athletic,12/26/11 00:00,0,0,0,0,0,0
Giggs Ryan,Manchester United,4,Manchester United,Wigan Athletic,4/11/12 00:00,0,0,0,0,0,0
Scholes Paul,Manchester United,4,Manchester United,Arsenal,1/22/12 00:00,0,0,0,0,0,0
Scholes Paul,Manchester United,4,Manchester United,Aston Villa,4/15/12 00:00,0,0,0,0,0,0
Scholes Paul,Manchester United,4,Manchester United,Blackburn Rovers,4/2/12 00:00,0,0,0,0,0,0
Scholes Paul,Manchester United,4,Manchester United,Bolton Wanderers,1/14/12 00:00,1,0,0,0,0,0
Scholes Paul,Manchester United,4,Manchester United,Chelsea,2/5/12 00:00,0,0,0,0,0,0
Scholes Paul,Manchester United,4,Manchester United,Everton,4/22/12 00:00,0,0,0,0,0,0
Scholes Paul,Manchester United,4,Manchester United,Fulham,3/26/12 00:00,0,0,0,0,0,0
Scholes Paul,Manchester United,4,Manchester United,Liverpool,2/11/12 00:00,0,0,0,0,0,0
Scholes Paul,Manchester United,4,Manchester United,Manchester City,4/30/12 00:00,0,0,0,0,0,0
Scholes Paul,Manchester United,4,Manchester United,Norwich City,2/26/12 00:00,1,0,0,0,0,0
Scholes Paul,Manchester United,4,Manchester United,Queens Park Rangers,4/8/12 00:00,1,0,0,0,0,0
Scholes Paul,Manchester United,4,Manchester United,Stoke City,1/31/12 00:00,0,0,0,0,0,0
Scholes Paul,Manchester United,4,Manchester United,Sunderland,5/13/12 00:00,0,0,0,0,0,0
Scholes Paul,Manchester United,4,Manchester United,Swansea City,5/6/12 00:00,1,0,0,0,0,0
Scholes Paul,Manchester United,4,Manchester United,Tottenham Hotspur,3/4/12 00:00,0,0,0,0,0,0
Scholes Paul,Manchester United,4,Manchester United,West Bromwich Albion,3/11/12 00:00,0,0,0,0,0,0
Scholes Paul,Manchester United,4,Manchester United,Wolverhampton Wanderers,3/18/12 00:00,0,0,0,0,0,0
Woodgate Jonathan,Stoke City,2,Stoke City,Aston Villa,12/26/11 00:00,0,0,0,0,0,0
Woodgate Jonathan,Stoke City,2,Stoke City,Blackburn Rovers,1/2/12 00:00,0,0,0,0,0,0
